classage;Ain;Aisne;Allier;Alpes.de.Haute.Provence;Hautes.Alpes;Alpes.Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches.du.Rhône;Calvados;Cantal;Charente;Charente.Maritime;Cher;Corrèze;Corse.du.Sud;Haute.Corse;Côte.d'Or;Côtes.d'Armor;Dordogne;Doubs;Drôme;Eure;Eure.et.Loir;Finistère;Gard;Haute.Garonne;Gers;Gironde;Hérault;Ille.et.Vilaine;Indre;Indre.et.Loire;Isère;Jura;Landes;Loir.et.Cher;Loire;Haute.Loire;Loire.Atlantique;Loiret;Lot;Lot.et.Garonne;Lozère;Maine.et.Loire;Manche;Marne;Haute.Marne;Mayenne;Meurthe.et.Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas.de.Calais;Puy.de.Dôme;Pyrénées.Atlantiques;Hautes.Pyrénées;Pyrénées.Orientales;Bas.Rhin;Haut.Rhin;Rhône;Haute.Saône;Saône.et.Loire;Sarthe;Savoie;Haute.Savoie;Paris;Seine.Maritime;Seine.et.Marne;Yvelines;Deux.Sèvres;Somme;Tarn;Tarn.et.Garonne;Var;Vaucluse;Vendée;Vienne;Haute.Vienne;Vosges;Yonne;Territoire de Belfort;Essonne;Hauts.de.Seine;Seine.Saint.Denis;Val.de.Marne;Val.d'Oise;Guadeloupe ;Martinique ;Réunion
1.[75,80);7943;7537;6865;3169;2464;19690;5714;4285;2981;4715;6884;6286;29237;10106;3176;6850;12525;6102;5144;2728;3045;7619;11464;9001;7678;7980;7953;6194;15006;12120;16146;4196;20858;17055;13767;4784;9748;16256;4357;7564;6428;12725;4070;17654;9914;4034;6830;1475;11612;9477;7669;3338;5421;10252;3147;13215;15732;4643;29086;9595;5727;18026;10055;12088;4687;9049;15049;10973;22199;3979;10333;9392;6365;9221;23838;17213;13501;16787;7026;7902;7485;4185;20420;8737;12116;7207;6719;6364;6021;2070;14315;16582;14200;14283;11452;4895;5870;6259
1.[80,85);5922;5992;5410;2420;1836;15657;4467;3116;2585;3655;5688;5067;22601;7544;2565;5236;9816;4446;4068;2088;2303;5911;8752;7289;5851;5955;5660;4776;11028;9365;12595;3543;16069;13133;10580;3939;7482;12299;3421;5517;4923;9220;3019;12532;7598;3091;5342;1144;8919;7312;5660;2443;4323;8073;2394;9245;11331;3438;22126;6862;4351;13624;7295;9425;3777;7144;10620;7970;17206;2858;8114;7294;4708;6711;18853;12781;9620;11930;5294;6070;6165;3594;14885;6482;8711;5620;5574;4619;4604;1439;10195;13499;10206;11063;8184;3020;3594;3440
1.[85,90);3520;3175;3139;1326;1078;9203;2593;1574;1449;1948;3155;2956;12199;4165;1484;2931;5717;2423;2409;985;1142;3377;4633;4026;3008;3344;3036;2987;5707;4918;6773;2030;9295;7182;5849;2131;4376;6523;1983;2976;2875;5403;1612;7133;4285;1847;3304;697;5488;4035;3005;1352;2610;3926;1277;5074;4913;1926;11373;3480;2395;7027;3945;5157;2104;3821;5004;3829;9203;1549;4747;4251;2524;3576;11125;7138;4975;6441;3384;3314;3724;2015;8339;3461;4739;3382;3292;2430;2740;728;5124;7804;4983;6011;4121;1842;2016;1569
1.[90,95);1184;967;1147;479;476;3457;851;492;561;783;1176;1025;4487;1423;493;1119;2059;849;893;373;403;1340;1462;1478;990;1262;960;1017;1903;1789;2600;765;3481;2590;1963;805;1669;2322;746;1029;1140;1841;606;2398;1619;683;1080;271;1879;1203;1098;452;821;1296;443;1680;1383;669;3526;1191;825;2147;1420;1783;724;1478;1628;1196;3160;523;1663;1509;883;1246;4602;2470;1803;2082;1191;1111;1385;784;3020;1272;1665;1203;1166;848;1012;269;1692;3014;1510;2192;1497;842;818;504
2.[16,20);17604;15286;8526;3989;3597;28873;7987;7685;3547;8658;9513;6333;59791;22060;3141;8774;15854;7629;5497;3592;4169;16463;15528;9793;16383;13390;16972;11471;24250;20633;41672;4515;46765;33410;33391;5376;18998;37868;7121;9468;8446;21560;5841;41231;18506;3858;8399;1855;25768;12993;17773;4525;8339;23386;4946;19419;28529;5112;84985;24212;7776;44101;18047;17141;5653;11770;33799;20528;59947;6126;13655;16394;11454;20893;59391;38600;43184;44333;9207;17837;10048;6284;26734;15992;16438;13137;10324;10143;8701;4063;40031;44552;47300;39668;38751;14158;12260;32116
2.[20,25);14784;14303;7431;3353;2752;29661;6558;6885;3019;8366;7920;5333;63960;21064;2982;7896;14502;7081;4922;3766;4797;18686;12110;8172;17241;12079;14406;10520;22818;18224;51417;3445;52290;39438;36016;4545;19544;38018;5724;7970;7266;21716;4709;39856;18571;3115;7438;1772;24579;11144;19318;4001;7167;26768;4669;16409;29533;4600;91728;22637;6728;41464;21145;16304;4797;11132;38977;20258;72960;5152;11423;14841;11356;19774;103277;40522;42608;42267;8032;18721;8637;5403;24307;14799;13914;14956;11292;8766;7365;4196;39270;52201;54815;46808;40399;10294;10054;29467
2.[25,30);17564;15358;8014;3849;3433;30163;7458;7829;3298;8614;8703;6019;60276;19815;3196;8580;14830;7653;5380;4536;4817;16259;13405;8778;17024;13479;16819;12108;22942;19006;46525;3916;46656;33417;31544;5109;17046;36069;6269;9149;7993;20820;5062;39531;19812;3510;8191;1758;23098;12249;18073;4678;7797;22859;5190;17552;32104;4682;87333;25088;6982;44204;18307;17119;5077;11858;35342;22753;65331;5990;13395;15104;11898;25004;114790;39264;45189;42692;9307;17183;8457;6313;26185;15273;16353;12521;10026;9446;8809;4427;41035;60785;60533;51026;41851;9955;10204;27865
2.[30,35);20088;16023;8798;4193;3888;32359;8853;8195;4219;9185;9859;7243;64309;20542;3752;9215;16765;8094;6050;4835;5267;15941;15654;10191;16833;14622;19074;13455;25513;21510;45476;4606;49042;33910;33321;5529;17805;39073;7382;11123;8925;22209;6057;43149;20929;4058;8961;2069;24268;13320;17774;4986;8793;23000;5433;20452;34071;5251;87114;26748;7474;46540;19110;19268;5765;12986;36579;24401;63601;6859;14906;16397;13091;27593;96955;38419;48329;47569;10495;17252;10569;7521;28182;16168;19259;12831;10399;10442;9747;4464;43927;64653;61747;52280;43794;11771;10328;28733
2.[35,40);21085;16499;9557;4655;4195;33733;9463;8697;4366;9067;10714;7714;64074;20911;4027;10363;17753;8823;6757;4718;5585;16089;17138;11419;16459;14922;19426;13900;26745;21690;43404;5304;49898;33729;33049;6397;18168;40775;7756;12344;9770;21920;6800;43917;20961;4720;9213;2168;24840;14141;17272;5025;9429;22236;5584;21856;32076;5505;83754;27492;7838;46488;19219;20151;6304;13942;35396;24186;57768;7313;15862;17307;13413;27693;83688;37860;48117;48736;11195;17718;11186;8053;29632;16281;20174;12829;11316;10806;9972;4452;43602;63988;56396;49516;41967;15117;12992;30572
2.[40,45);23689;18407;11335;5448;5039;37855;11059;9682;5139;10374;12748;8986;71668;23054;4799;11874;21309;10398;7740;5744;6301;17858;19692;13894;18092;17635;21610;15126;30500;25993;46014;6516;55476;37881;35294;7554;20663;44584;9240;14487;11463;25194;7761;47064;23180;5645;10814;2574;26452;16045;19535;5677;10100;24352;6300;25148;36656;6529;87320;29749;9241;50200;21920;23400;7699;16008;40058;27654;60026;8280;18714;19451;15766;29501;77664;42500;52390;52949;12775;19662;13073;8762;35170;19209;21794;14178;12534;12647;11697;4875;45829;61059;54691;49363;42326;17377;16452;32510
2.[45,50);23104;18600;11712;6008;5051;40153;11503;9918;5383;10209;12744;9554;71703;23038;5212;12832;21526;10954;8111;5643;6169;17730;19461;14786;17723;17842;20839;15119;30632;26827;46151;6859;53492;38460;34434;8091;20602;43309;9188;14250;11496;24968;7919;45246;22690;6079;11693;2585;26409;17580;19469;6341;10150;24708;6676;25218;38808;7208;86122;29539;9677;49642;22034;24076;8214;15950;40457;28205;59603;8190;19357;19615;15292;29292;74667;43170;50454;52475;13027;19160;13681;8778;36992;20533;21730;14209;12861;13447;11556;4850;45266;58456;52177;49489;42860;17747;17938;33967
2.[50,55);20850;18778;12226;6043;5074;37551;11059;9983;5616;10399;12712;9774;68168;23314;5229;12750;21765;11206;8617;5388;5926;18215;20290;15073;17285;17207;20319;14788;31059;26288;42052;7053;50612;36536;32293;7902;19956;40614;8972;13902;11265;24784;7716;44045;22027;6314;11690;2693;26572;17612;19313;6639;10036;24972;6625;26083;38953;7541;84582;28051;10176;49750;21924;23911;8383;15852;39287;27224;54831;8362;19497;18769;14723;25975;70656;43836;46205;49571;12906;19068;13454;8625;35401;19190;21922;14423;12627;13451;11708;4938;42826;52891;49135;45922;41650;16269;17018;28807
2.[55,60);19394;18553;12710;5670;4984;35294;11299;10037;5504;10391;12760;9606;65495;24038;5551;13479;23662;11177;8837;5008;5622;17853;20783;15860;17145;16529;20305;14611;31294;25696;38418;7182;49358;35244;30355;8344;20025;38622;8813;14161;11491;25008;7903;41486;21932;6838;11892;2622;25402;17262;19134;6717;9924;24863;6954;25523;38093;8559;83756;26713;10324;49811;22561;23138;8517;15198;37423;26441;51306;8595;20036;19089;13842;23655;67682;42916;42752;44819;12854;18990;13524;8375;35492;18858;21752;14899;13438;13480;12017;4608;37301;45875;45267;40798;37760;14379;14489;24350
2.[60,65);18598;18619;13467;6126;4887;36704;11911;9825;5710;10690;13832;10487;64218;24437;5747;13368;25939;12079;9475;4986;5930;17968;23008;17448;16859;16887;19870;14510;32588;26244;37181;7311;50118;37602;30180;8868;20355;37036;8934;15393;12395;26020;7962;42956;22056;7082;12757;2733;25075;18180;19164;6677;10145;23540;6705;27773;34306;8966;79881;25587;10939;48884;22999;23862;8806;17520;33974;24142;49134;8625;21252;19219;13817;23093;67773;42133;38337;41900;12995;19305;13993;8511;38151;19111;24755;14662;14005;13868;12874;4664;34550;43310;38111;37547;32255;12900;12886;18582
2.[65,70);14636;13659;11290;5462;4266;34931;10087;7142;4824;8367;12426;8481;54586;18551;4702;10838;22412;9911;7645;4333;5169;14053;19202;14427;13573;14509;14819;11027;25900;22659;30171;6192;39783;32588;23213;7450;16379;30469;7631;12852;9757;21144;6691;32988;17151;6134;10800;2231;19518;14356;14423;5210;7656;18149;4909;22587;24263;7382;59554;17922;8574;35882;18306;19784;7346;16026;24161;17387;41734;6773;17213;14538;11246;18485;55491;32148;27401;32068;10224;14613;11487;6886;36252;16393;19530;11367;11319;10758;9833;3363;26896;32983;25434;28171;22205;10182;10044;13605
2.[70,75);10612;10095;8751;4184;3270;27833;7400;5565;3568;6474;8722;7183;41707;14166;3821;8267;16126;7551;6204;3924;4086;10467;14795;10981;10303;10816;10643;8240;20380;16407;21591;4894;27461;23157;17825;5942;12365;22653;5699;9305;7671;16445;5172;24034;12712;4784;8331;1772;15254;11491;10505;4223;6148;14310;3945;16945;22391;5966;42605;12933;6712;26160;13350;15753;6035;11964;21832;15180;31215;5020;13478;11604;8718;13444;39652;24434;19083;23478;7968;10749;8850;5268;27805;12240;14802;8743;8447;8090;7557;2727;20001;24875;18953;20722;16167;7753;8274;11211
2.[75,80);9920;10966;9380;3838;3029;26385;7052;6046;3832;6605;8678;7751;39131;14258;4284;8627;15897;7806;6612;3395;3806;10371;15859;11236;10142;10324;10630;8211;21928;15382;21076;4849;27338;21604;18623;6388;12656;21038;5657;9373;8084;17624;5393;24762;12828;4751;8468;1845;15400;12700;10636;4368;6737;14679;4276;17895;21367;6204;45855;13038;7326;29060;13828;15952;6279;11533;20493;14622;30745;5074;14135;12597;8216;12142;35610;25043;18039;21753;8515;11045;9514;5394;24978;11310;14859;9283;8933;8825;7839;2774;18898;23789;19065;21288;15603;6596;7357;8923
2.[80,85);9024;10005;8927;3424;2723;24179;6720;5374;3583;5893;8285;7201;34739;13135;3887;8047;14502;6917;6448;2882;3271;9607;14296;10676;8889;8849;9232;7339;19718;13844;19097;4694;25938;19622;16701;5888;11317;18826;5378;8262;7362;15893;4976;21866;11581;4488;7931;1598;14182;11639;9400;4020;6091;13260;3918;15913;18080;5855;41135;10976;6671;26106;12263;14749;5848;10722;17710;13322;27840;4601;12824;11306;7341;10578;32494;22193;15164;19094;7791;10115;9205;5162;22103;10304;12857;8408;8530;8130;7182;2445;15067;22787;16412;18523;13279;4833;5512;5583
2.[85,90);6390;6783;6324;2433;1950;18212;4983;3443;2657;4180;5785;5308;24955;9034;2818;5682;10353;4949;4808;1866;2100;7093;10212;7860;5924;6214;6248;5176;13801;9791;13741;3461;18903;13638;11637;4208;8261;13027;3952;5841;5190;11431;3537;15491;8106;3415;5783;1276;10081;7914;6763;2797;4450;8819;2811;10915;11252;4141;27088;7530;4667;17154;8744;10820;4389;7430;11874;8510;19380;3118;9120;7847;5122;7380;24073;15183;10443;12224;5606;6942;6627;3630;15447;6983;9402;6143;6534;5431;5304;1691;10163;16740;10451;12867;9234;3290;3438;3786
2.[90,95);3123;2846;2909;1179;1060;8788;2441;1415;1347;1980;2714;2370;11536;4197;1297;2853;5065;2354;2233;891;1112;3401;4511;3677;2643;2891;2803;2455;5875;4605;6579;1541;9251;6827;5248;1935;4000;5674;1875;2689;2544;5074;1584;6971;3798;1559;2691;658;4865;3526;3091;1288;2220;3665;1161;4806;4458;1905;11147;3306;2252;6911;4070;5077;1957;3455;5088;3556;8803;1419;4334;3605;2340;3351;11977;6963;5068;5961;2686;2923;3024;1779;7694;3368;4105;3030;2983;2423;2627;698;4690;8006;4709;5951;4175;1590;1824;1530
